ID	Document Title	Authors	Publication Title	Publication Date	Abstract	Keywords							
957	Avoiding Another AI Winter	Hendler, James	Intelligent Systems, IEEE	20080321	Is artificial intelligence headed for another AI Winter? Not if we take action now.	AI Winter;DARPA;Hai Zhuge;Seventh Framework Programme;Sixth Framework Programme;artificial intelligence;computer science;expert systems							
958	Asymmetric Tuning Schemes of MEMS Dual-Shutter VOA	Zhang, X.M.; Zhao, Q.W.; Liu, A.Q.; Zhang, J.; Lau, J.H.; Kam, C.H.	Lightwave Technology, Journal of	20080408	A dual-shutter MEMS variable optical attenuator (VOA) is designed for advanced tuning functions such as linear attenuation relationship and simultaneous coarse and fine tunings. The mechanism behind is to take advantage of the additional shutter to render one more degree of freedom for attenuation adjustment. Although dual-shutter VOAs with asymmetric functionalities have been reported before, these intrinsic capabilities owing to asymmetry have not been extensively investigated. In experiment, the fabricated VOA device has demonstrated a linear tuning over a 20-dB range with respect to the driving voltage of one shutter, and it has also realized simultaneously coarse tuning (2.5 dB/V) and fine tuning (0.1 dB/V) by the two shutters. Ideally, the tuning can start from any available working point, linear to any controlling parameter, at any slope of linearity, and with any tuning resolution. Theoretical attenuation model has also been developed to provide a roadmap for the VOA design and choice of working point. An interesting finding is that over a certain range the linear attenuation can be obtained by moving a fixed aperture rather than by reducing the aperture size, which greatly relaxes the difficulty of shutter position control. The measured results match well with the theoretical data, implying the possibility of developing a look-up table to locate the shutter positions quickly. The dual-shutter VOA accomplishes these features without the need of high-precision control systems and therefore gives a structure-based rather than a control-system-based solution, clearly advantageous over the previously developed VOAs.	Linear attenuation;microelectromechanical systems (MEMS);microoptics;ultrafine tuning;variable optical attenuator,Apertures;Attenuation;Control systems;Linearity;Micromechanical devices;Optical attenuators;Optical design;Optical tuning;Position control;Voltage,micro-optics;micromechanical devices;optical attenuators;optical tuningMEMS;VOA;asymmetric tuning schemes;dual shutter;linear attenuation;variable optical attenuator							
959	Handwritten-Word Spotting Using Biologically Inspired Features	van Der Zant, T.; Schomaker, L.; Haak, K.	Pattern Analysis and Machine Intelligence, IEEE Transactions on	20080919	For quick access to new handwritten collections, current handwriting recognition methods are too cumbersome. They cannot deal with the lack of labeled data and would require extensive laboratory training for each individual script, style, language, and collection. We propose a biologically inspired whole-word recognition method that is used to incrementally elicit word labels in a live Web-based annotation system, named Monk. Since human labor should be minimized given the massive amount of image data, it becomes important to rely on robust perceptual mechanisms in the machine. Recent computational models of the neurophysiology of vision are applied to isolated word classification. A primate cortex-like mechanism allows us to classify text images that have a low frequency of occurrence. Typically, these images are the most difficult to retrieve and often contain named entities and are regarded as the most important to people. Usually, standard pattern-recognition technology cannot deal with these text images if there are not enough labeled instances. The results of this retrieval system are compared to normalized word-image matching and appear to be very promising.	Computational neuroscience;Computer vision;Computing Methodologies;Digital Libraries;Feature Measurement;Handwriting analysis;Image Processing and Computer Vision;Image/video retrieval;Information Storage and Retrieval;Information Technology and Systems;Interactive systems;InvariantsInternet;handwriting recognition;image classification;image retrieval;text analysisMonk;Web-based annotation system;biologically inspired features;handwriting recognition;handwritten-word spotting;retrieval system;text images classification;whole-word recognition;word classificationArtificial Intelligence;Biomimetics;Handwriting;Humans;Image Enhancement;Image Interpretation, Computer-Assisted;Information Storage and Retrieval;Pattern Recognition, Automated;Pattern Recognition, Visual							
960	Joseph Weizenbaum (1923?2008)	Moses, Joel; Meldman, Jeff	Intelligent Systems, IEEE	20080729	This article looks at the life of AI pioneer Joseph Weizenbaum, developer of the Eliza program.	Eliza;Joseph Weizenbaum;artificial intelligence							
961	A liquid waveguide based evanescent wave sensor integrated onto a microfluidic chip	Li, X.C.; Wu, J.; Liu, A.Q.; Li, Z.G.; Soew, Y.C.; Huang, H.J.; Xu, K.; Lin, J.T.	Applied Physics Letters	20090618	An evanescent wave sensor based on liquid waveguide is integrated onto a microfluidic chip. The structure of the liquid waveguide consists of three streams with two low refractive index fluids as cladding layers, which envelop a high refractive index fluid as a core layer along a microchannel. Light is coupled into the core layer, and a detected sample is injected into one cladding layer. The profile of the output light modal power is changed by varying the concentration of the sample. The sensor with a sensitivity of 275ﾠ?m2ﾠl/mol can be used for real-time, low-cost, and label-free measurements in a wide range of applications.	claddings;fibre optic sensors;micro-optomechanical devices;microfluidics;optical waveguides;refractive index4279Gn;4281Pa;4785Np;8585+j,							
962	An Innovative Method to Classify Remote-Sensing Images Using Ant Colony Optimization	Xiaoping Liu; Xia Li; Lin Liu; Jinqiang He; Bin Ai	Geoscience and Remote Sensing, IEEE Transactions on	20081209	This paper presents a new method to improve the classification performance for remote-sensing applications based on swarm intelligence. Traditional statistical classifiers have limitations in solving complex classification problems because of their strict assumptions. For example, data correlation between bands of remote-sensing imagery has caused problems in generating satisfactory classification using statistical methods. In this paper, ant colony optimization (ACO), based upon swarm intelligence, is used to improve the classification performance. Due to the positive feedback mechanism, ACO takes into account the correlation between attribute variables, thus avoiding issues related to band correlation. A discretization technique is incorporated in this ACO method so that classification rules can be induced from large data sets of remote-sensing images. Experiments of this ACO algorithm in the Guangzhou area reveal that it yields simpler rule sets and better accuracy than the See 5.0 decision tree method.	Ant colony optimization (ACO);artificial intelligence (AI);classification;remote sensing,Ant colony optimization;Artificial intelligence;Gaussian distribution;Geography;Helium;Knowledge based systems;Particle swarm optimization;Remote sensing;Statistical analysis;Sun,geophysical techniques;geophysics computing;image classification;remote sensingACO;China;Guangzhou area;ant colony optimization;data correlation;decision tree method;discretization technique;image classification;remote-sensing applications;statistical methods;swarm intelligence							
963	Artificial Intelligence in China	Fei-Yue Wang; Ruqian Lu; Daniel Zeng	Intelligent Systems, IEEE	20090109	The guest editors introduce the IEEE Intelligent Systems special issue on AI in China. This special issue intends to share recent research contributions and developments from the AI researchers in China.	China;artificial intelligence;calligraphy;commerce research;image processing;imagery thinking;intelligent transportation;machine learning;natural language technology;pattern recognitionartificial intelligenceChina;artificial intelligence;machine intelligence							
964	Light-Intensity-Feedback-Waveform Generator Based on MEMS Variable Optical Attenuator	Borovic, B.; Ai-Qun Liu; Popa, D.; Hong Cai; Lewis, F.L.	Industrial Electronics, IEEE Transactions on	20080104	Increasing demands on the dynamical behavior of microelectromechanical systems (MEMS) devices are reaching a point where mechanical design by itself cannot provide further improvements. Alternative approaches based on control theory, such as the open-loop or the closed-loop driving strategies, must be used instead to provide further enhancements in device performance. In this paper, the design of a light-intensity control system for an optical waveform generator is presented. The optical waveform generator is based on the light-modulation ability of MEMS variable optical attenuators (VOA). The VOA is of shutter-insertion type driven by an electrostatic comb drive. The control system consists of an inner position-control loop and an outer light-intensity-control loop. The inner control loop improves the dynamic response of the position of the MEMS electrostatic comb actuator by using position feedback, whereas the outer feedback loop handles both light-intensity regulation and tracking. An experimental setup and a practical system characterization are given. Based on this, the feedback control system is implemented on an actual MEMS VOA. The results verify that the control system proposed in this paper does significantly improve both the accuracy and the dynamical behavior of the existing device.	Electrostatic comb drive;light-intensity control;microelectromechanical systems (MEMS);optical waveform generator;variable optical attenuators (VOA),Control systems;Electric variables control;Electrostatics;Feedback loop;Lighting control;Micromechanical devices;Optical attenuators;Optical feedback;Optical variables control;Signal generators,electric actuators;micro-optics;optical modulation;waveform generatorsMEMS variable optical attenuator;electrostatic comb actuator;feedback control system;feedback waveform generator;light intensity control system;light modulation;position feedback;shutter insertion							
965	Fabrication of thin-film silicon on insulator by separation by implanted oxygen layer transfer	Wei, Xing; Wu, Ai Min; Chen, Meng; Chen, Jing; Zhang, Miao; Wang, Xi; Lin, Cheng-Lu	Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures	20090618	In this article, the authors propose an improved approachﾗseparation by implanted oxygen (SIMOX) layer transfer processﾗto fabricate thin-film silicon on insulator (SOI). The top Si layer, a low-dose SIMOX wafer, was transferred upside down onto a thermally oxidized Si handle wafer by a bonding technique and etch-stop thinning process. Spectroscopic ellipsometry indicated a thin-film SOI with the device layer of 147.5ﾱ3.1ﾠnm. An atomic-scale sharp interface between the device layer and buried oxide layer was observed by high-resolution transmission electron microscopy.	SIMOX;semiconductor thin films;transmission electron microscopy6172uf;6837Og;6855ag,							
966	In the News	Ingebretsen, M.	Intelligent Systems, IEEE	20090109	"The first story, ""AI And The Language of Life,"" looks at AI techniques for mapping and creating proteins. The second story, ""Autonomous Agents Take On City Driving,"" reports on current uses of AI technology to improve urban traffic flow."	GenoCAD;antimicrobial peptides;artificial intelligence;autonomous agents;biological constructs;context-free grammars;distributed methods;kinases;mapping;molecular language;protein;traffic flow							
967	Nucleation field of a soft magnetic nanotube with uniaxial anisotropy	Usov, N.A.; Chen, A.P.; Zhukov, A.; Gonzalez, J.	Journal of Applied Physics	20090618	We have performed both one-dimensional variational and two-dimensional numerical calculations of the magnetic curling structure near the ends of soft magnetic nanotubes whose axes are magnetically favored, and compared the two. The variational calculation is based on the observation that the numerical simulation results for ending curling structure are similar to those for head-to-head domain walls. Except for magnetic fields opposing the average magnetization and larger than a critical value, the wall centers are outside the tube, and there is an appreciable energy barrier against penetration of the tube by the wall. The two calculations are in reasonable agreement for a range of tube dimensions and material parameters. Both predict critical fields lower than those for infinite tubes.	magnetic anisotropy;magnetic domain walls;magnetic structure;nanotubes;nucleation;soft magnetic materials7540Mg;7560Ch;7575+a,							
968	Interview with editor-in-chief of the IEEE Transactions on Computational Intelligence and AI in games, Simon Lucas, University of Essex, UK [Career Profile]		Computational Intelligence Magazine, IEEE	20081031									
969	Maritime border control computer simulation	Giompapa, S.; Gini, F.; Farina, Alfonso; Graziano, A.; Stefano, R.	Aerospace and Electronic Systems Magazine, IEEE	20081202	This work describes a computer simulator for an integrated command and control (C2) multi-sensor system acting in a maritime border control scenario. The analyzed system is composed of two platforms of multiple sensors: a land-based platform, equipped with a Vessel Traffic System (VTS) radar, an Infrared camera (IR), and an Automatic Identification System (AIS); an airborne platform, carrying an Airborne Early Warning Radar (AEWR) and an IR camera. The mission of the system is the detection, tracking, and identification of multiple naval targets inside a sea region, their threat level evaluation, and the selection of an intervention against possible threat targets, in order to inspect their nature. The Measures of Effectiveness (MoE) of the integrated system are evaluated, i.e., the system performance during the detection, the threat evaluation process, and the intervention.	,Airborne radar;Automatic control;Cameras;Command and control systems;Computational modeling;Computer simulation;Infrared sensors;Radar detection;Sensor systems;Traffic control,command and control systems;infrared imaging;marine vehicles;military radar;national security;object detection;radar tracking;sensor fusion;target trackingairborne early warning radar;airborne platform;automatic identification system;infrared camera;integrated command and control multisensor system;land-based platform;maritime border control computer simulation;naval targets;sea region;target detection;target identification;target tracking;threat level evaluation;threat targets;vessel traffic system radar							
970	Augmented-Cognition Research on the Rise	Ingebretsen, Mark; Goth, Greg	Intelligent Systems, IEEE	20080131	"The first news story, ""The Coming Search Revolution"" looks at several current applications of AI technology to search engines. The second news story, ""Augmented-Cognition Research on the Rise,"" reports on projects taking different approaches to discover how systems can predictively adapt to individual users' needs."	Lecture Browser;PanImages;Playware;Powerset;ambient intelligence;augmented cognition;human-computer interaction;iSEEK;search,Dictionaries;Earth;Frequency measurement;Glass;Natural languages;Open source software;Refrigeration;Search engines;Speech recognition;Web search							
971	IEEE Standard for Information Technology--Telecommunications and Information Exchange Between Systems--Local and Metropolitan Area Networks--Specific Requirements Part 3: Carrier Sense Multiple Access With Collision Detection (CSMA/CD) Access Method and Physical Layer Specifications - Section Four		IEEE Std 802.3-2008 (Revision of IEEE Std 802.3-2005)	20081222	First Page of the Article	,IEEE standards;Information technology;Local area networks;Metropolitan area networks							
972	Control of HIV Infection Dynamics	Hyeygjeon Chang; Astolfi, A.	Control Systems, IEEE	20080321	This article describes a drug scheduling method based on a reduced-order model, which does not require estimates of all of the parameters and states of the full-order model. To this end, we divide the full-order model into two subsystems, one of which is modified to approximate the full-order model. We show that the suggested method drives the HIV patient state into the LTNP region of attraction. This article is organized as follows. First, the problem under consideration is formulated, and a description of the HIV infection model is provided. Then, measurement methods for the states of the HIV model are surveyed. Subsequently the HIV infection model is modified to yield a reduced-order model. Finally, two control strategies based on this modified model are presented along with simulation results. The article concludes with a discussion and ideas for future work.	,Acquired immune deficiency syndrome;Blood;Drugs;Feedback control;Human immunodeficiency virus;Immune system;Medical treatment;Open loop systems;Optimal control;Scheduling,diseases;drugs;patient treatment;reduced order systems;schedulingHIV infection dynamics;HIV patient;LTNP region of attraction;control strategy;drug scheduling;full-order model;measurement method;reduced-order model							
973	Cell compressibility studies utilizing noncontact hydrostatic pressure measurements on single living cells in a microchamber	Lin, L.A.G.; Liu, A.Q.; Yu, Y.F.; Zhang, C.; Lim, C.S.; Ng, S.H.; Yap, P.H.; Gao, H.J.	Applied Physics Letters	20090618	A micro-optical-fluidic system (MOFS), which integrates a force generating device and an optical detector, is designed to measure the bulk modulus of a single living cell in real time under a controlled hydrostatic pressure. In this design, the accuracy of the bulk modulus measurement is improved because neither the force generating device nor the optical detector needs to be in contact with the cells. The MOFS device has been used to investigate the mechanotransduction of THP-1 human acute monocytic leukemia cells and the effects of the toxin lipopolysaccharide and colchicine on various properties of these cells.	Young's modulus;biomechanics;cancer;cellular biophysics;compressibility;micro-optomechanical devices;photodetectors8717Rt;8780Ek,							
974	Bibliography		How to Build a Person:A Prolegomenon	20120924	"Building a person has been an elusive goal in artificial intelligence. This failure, John Pollock argues, is because the problems involved are essentially philosophical; what is needed for the construction of a person is a physical system that mimics human rationality. Pollock describes an exciting theory of rationality and its partial implementation in OSCAR, a computer system whose descendants will literally be persons.In developing the philosophical superstructure for this bold undertaking, Pollock defends the conception of man as an intelligent machine and argues that mental states are physical states and persons are physical objects as described in the fable of Oscar, the self conscious machine.Pollock brings a unique blend of philosophy and artificial intelligence to bear on the vexing problem of how to construct a physical system that thinks, is self conscious, has desires, fears, intentions, and a full range of mental states. He brings together an impressive array of technical work in philosophy to drive theory construction in AI. The result is described in his final chapter on ""cognitive carpentry.""John Pollock is Professor of Philosophy and Cognitive Science at the University of Arizona. A Bradford Book"								
975	An Adaptive GTS Allocation Scheme for IEEE 802.15.4	Yu-Kai Huang; Ai-Chun Pang; Hui-Nien Hung	Parallel and Distributed Systems, IEEE Transactions on	20080331	IEEE 802.15.4 is a new standard uniquely designed for low-rate wireless personal area networks. It targets ultralow complexity, cost, and power for low-rate wireless connectivity among inexpensive, portable, and moving devices. IEEE 802.15.4 provides a guaranteed time slot (GTS) mechanism to allocate a specific duration within a superframe for time-critical transmissions. This paper proposes an adaptive GTS allocation (AGA) scheme for IEEE 802.15.4, which considers low latency and fairness. The scheme is designed based on the existing IEEE 802.15.4 medium access control protocol, and IEEE 802.15.4 devices can receive this AGA service without any modification. A simulation model and an analytical model are developed to investigate the performance of our AGA scheme. The numerical results show that the proposed scheme significantly outperforms the existing IEEE 802.15.4 implementation.	Network communications;Wireless communicationaccess protocols;personal area networksIEEE 802.15.4;adaptive GTS allocation scheme;guaranteed time slot mechanism;low-rate wireless connectivity;low-rate wireless personal area networks;medium access control protocol;time-critical transmissions							
976	Why Heideggerian AI Failed and How Fixing It Would Require Making It More Heideggerian		The Mechanical Mind in History	20120924	This chapter contains sections titled: The Convergence of Computers and Philosophy, Symbolic AI as a Degenerating Research Program, Heideggerian AI, Stage 1: Eliminating Representations by Building Behavior-Based Robots, Heideggerian AI, Stage 2: Programming the Ready-to-Hand, Pseudo-Heideggerian AI: Embedded, Embodied, Extended Mind, What Motivates Embedded/Embodied Coping?, Modeling Situated Coping as a Dynamical System, Walter Freeman's Merleau-Pontian Neurodynamics, How Heideggerian AI Would Dissolve Rather Than Avoid or Solve the Frame Problem, Conclusion, Notes								
977	The Creation Process of Chinese Calligraphy and Emulation of Imagery Thinking	Jun Dong; Miao Xu; Xian-jun Zhang; Yan-qing Gao; Yun-He Pan	Intelligent Systems, IEEE	20090109	Chinese calligraphy is both an art form and the embodiment of imagery thinking. The process of calligraphy involves studying tablets or documents, remembering the contents, and creating new artwork with calligraphic images from memory. All these steps are related to simulation intelligence, thought patterns, and cognition models. Ancient tablets were damaged by human hands and eroded by the environment, thus considerably degrading their original appearance. Automated reconstruction of the characters represented in the tablets, completed in the past by an experienced expert, is a necessary preprocessing stage that simulates the imagery thinking of calligraphy creation. Following reconstruction, a stroke-reforming approach based on statistical models generates new calligraphic styles. We present the results of this approach and discuss ongoing problems. This article is part of a special issue on AI in China.	calligraphy;contour smoothing;imagery thinking;reform;statistical modelartificial intelligence;handwriting recognitionAI;Chinese calligraphy;imagery thinking;simulation intelligence;stroke-reforming approach							
978	Toward Human Level Machine Intelligence - Is It Achievable? The Need for a Paradigm Shift	Zadeh, Lotfi A.	Computational Intelligence Magazine, IEEE	20080716	"Officially, AI was born in 1956. Since then, very impressive progress has been made in many areas - but not in the realm of human level machine intelligence. During much of its early history, AI ""was rife ""with exaggerated expectations. A headline in an article published in the late forties of last century was headlined, ""Electric brain capable of translating foreign languages is being built"". Today, more than half a century later, we do have translation software, but nothing that can approach the quality of human translation. Clearly, achievement of human level machine intelligence is a challenge that is hard to meet. A prerequisite to achievement of human level machine intelligence is mechanization of these capabilities and, in particular, mechanization of natural language understanding. To make significant progress toward achievement of human level machine intelligence, a paradigm shift is needed. More specifically, what is needed is an addition to the armamentarium of AI of two methodologies: (a) a nontraditional methodology of computing with words (CW) or more generally, NL-Computation; and (b) a countertraditional methodology ""which involves a progression from computing with numbers to computing with words. The centerpiece of these methodologies is the concept of precisiation of meaning. Addition of these methodologies to AI would be an important step toward the achievement of human level machine intelligence and its applications in decision-making, pattern recognition, analysis of evidence, diagnosis, and assessment of causality. Such applications have a position of centrality in our infocentric society."	,Artificial intelligence;Customer service;History;Humans;Machine intelligence;Natural languages;Performance evaluation;Physics computing;Software quality;Testing							
979	Intelligent-Commerce Research in China	Daniel Zeng; Fei-Yue Wang; Xiaolong Zheng; Yong Yuan; Guoqing Chen; Jian Chen	Intelligent Systems, IEEE	20090109	Recent years have witnessed the increased application of AI technologies to real-world e-commerce challenges. This article presents a brief overview of representative work by Chinese researchers, covering topics such as multiagent decision making, keyword advertising, social networks, recommender systems, information retrieval and the semantic Web, and computational experiments. This article is part of a special issue on AI in China.	Semantic Web;artificial intelligence;e-commerce;information retrieval;keyword advertising;multiagent systems;recommender systems;social networksdecision making;electronic commerce;information retrieval;multi-agent systems;semantic Web;social networking (online)AI technologies;China;computational experiments;e-commerce;information retrieval;intelligent-commerce;keyword advertising;multiagent decision making;recommender systems;semantic Web;social networks							
980	Two-dimensional indexing polynomial-based pre-distorter for power amplifiers with memory effects	Ai, B.; Zhong, Z.D.; Zhu, G.; Xu, R.T.; Li, Z.Q.	Communications, IET	20081208	An improved segmented polynomial-based pre-distortion method and a novel memory polynomial-based pre-distortion method with two-dimensional indexing are proposed in digital baseband power amplifier pre-distortion systems. Through computer simulations and corresponding analysis, the feasibility and reliability of the proposed methods are verified with three different polynomial formats in the evaluation of relative mean square error, the convergence speed, the random access memory storage units and the power spectral density.	mean square error methods;polynomials;power amplifiers;reliabilityconvergence speed;digital baseband power amplifier;memory effects;power spectral density;predistortion systems;random access memory storage units;relative mean square error;two-dimensional indexing polynomial							
981	Impact of semiconductor/contact metal thickness ratio on organic thin-film transistor performance	Gowrisanker, S.; Ai, Y.; Quevedo-Lopez, M.A.; Jia, H.; Alshareef, H.N.; Vogel, E.; Gnade, B.	Applied Physics Letters	20090618	Pentacene-based organic thin-film transistors have been fabricated using photolithography and the bottom contact structure using parylene as the gate dielectric. Device performance was optimized by varying the thickness ratio of pentacene to Au contacts. Contact resistance dependence on the pentacene/Au thickness ratio (r=tpen/tAu) was extracted using the transfer-length method [D. K. Schroder, Semiconductor Material and Device Characterization (Wiley, New York, 2006), pp. 184ﾖ199; Necliudov etal, Solid-State Electron. 47, 259 (2003)]. In this paper, we show that the effect of parasitic resistance and pentacene film morphology on device performance can be decoupled. Film morphology and microstructure are reported as a function of pentacene thickness and the correlation with transistor field-effect mobility is discussed.	contact resistance;field effect transistors;gold;organic semiconductors;photolithography;semiconductor device measurement;semiconductor thin films;semiconductor-metal boundaries;thin film transistors6855ag;6855jd;7340Cg;7340Ns;8530De;8530Tv,							
982	IEEE Standard for Information Technology--Telecommunications and Information Exchange Between Systems--Local and Metropolitan Area Networks--Specific Requirements Part 3: Carrier Sense Multiple Access With Collision Detection (CSMA/CD) Access Method and Physical Layer Specifications - Section Five		IEEE Std 802.3-2008 (Revision of IEEE Std 802.3-2005)	20081222	First Page of the Article	,IEEE standards;Information technology;Local area networks;Metropolitan area networks							
983	Bots Get Smart	Schaeffer, J.; Bulitko, V.; Buro, M.	Spectrum, IEEE	20081202	The main challenge in making video games is to make computer-generated characters-dubbed bots-act realistically. They must, of course, look good and move naturally. But, ideally, they should also be able to engage in believable conversations, plan their actions, find their way around virtual worlds, and learn from their mistakes. That is, they need to be smart. Today many video games create only an illusion of intelligence, using a few programming tricks. But in the not-so -distant future, game bots will routinely use sophisticated AI techniques to shape their behavior. We and our colleagues in the University of Alberta GAMES (game-playing, analytical methods, minimax search and empirical studies) research group, in Edmonton, Canada, have been working to help bring about such a revolution.	,Artificial intelligence;Games;Minimax techniques;Shape,artificial intelligence;avatars;computer gamesAI techniques;Alberta University;GAMES research group;artificial intelligence;computer-generated characters;game bots;video games;virtual worlds							
984	Modulating effects of the low-frequency source on ion energy distributions in a dual frequency capacitively coupled plasma	Li, Xiao-Song; Bi, Zhen-Hua; Chang, Da-Lei; Li, Zhi-Cheng; Wang, Shuai; Xu, Xiang; Xu, Yong; Lu, Wen-Qi; Zhu, Ai-Min; Wang You-Nian	Applied Physics Letters	20090618	With the energy resolved quadrupole mass spectrometer and hybrid simulation, the influence of low-frequency (LF) source parameters on the ion energy distributions (IEDs) of argon ions impinging on the grounded electrode was studied, both experimentally and numerically, in a dual frequency capacitively coupled plasma. It was shown that for decreasing LF or increasing LF power, the high energy peak in IEDs shifts toward the high energy region significantly. The simulation results were in general agreement with the experimental data.	argon;hybrid simulation;mass spectroscopy;plasma diagnostics;plasma properties;plasma simulation;plasma sources5225-b;5250Dg;5265Ww;5270Nc,							
985	Errata to ﾓRM-MEDA: A Regularity Model-Based Multiobjective Estimation of Distribution Algorithmﾔ [Feb 08 41-63]	Qingfu Zhang; Aimin Zhou; Yaochu Jin	Evolutionary Computation, IEEE Transactions on	20080528	In the above titled paper (ibid., vol. 12, no. 1, pp. 41-63, Feb. 08), Fig. 20 was wrong. Its replacement is presented here.								
986	MgO-codoping effects on the spectroscopic properties of Er3+-doped LiNbO3	Li, Ai-Hua; Zheng, Zhi-Ren; Liang Sun; Lu, Qiang; Liu, Wei-Long; Wu, Wen-Zhi; Yang, Yan-Qiang; Lu, Tian-Quan	Journal of Applied Physics	20090618	Optical absorption, spectrally resolved polarized upconversion fluorescence, and time-resolved luminescence spectra are used to investigate the Er3+ spectroscopic properties in a series of congruent LiNbO3 crystals codoped with Er3+ (1ﾠmol %) and MgO (X mol %, X=0, 2, 4, 6, and 8). The absorption spectra indicate that the transition cross section of Er3+ ions decreases with increasing MgO concentration; it is explained as the improvement of the Er3+-site symmetries. A new Er3+ energy site with low energy, which appears in the long wavelength side of the polarized fluorescence spectra for the samples heavily codoped with MgO, is demonstrated in the time-resolved luminescence spectra. An important finding is that mild codoping with MgO clearly does not facilitate the formation of clustered sites, whereas heavy codoping clearly does facilitate it in Er3+-doped LiNbO3 crystals. These results are important to those who consider the material as a 1.5ﾠ?m laser or fiber optical cable.	doping;erbium;fluorescence;lithium compounds;magnesium compounds;time resolved spectra6172up;7847Cd;7855Hx,							
987	An Effective PSO and AIS-Based Hybrid Intelligent Algorithm for Job-Shop Scheduling	Hong-Wei Ge; Liang Sun; Yan-Chun Liang; Feng Qian	Systems, Man and Cybernetics, Part A: Systems and Humans, IEEE Transactions on	20080303	The optimization of job-shop scheduling is very important because of its theoretical and practical significance. In this paper, a computationally effective algorithm of combining PSO with AIS for solving the minimum makespan problem of job-shop scheduling is proposed. In the particle swarm system, a novel concept for the distance and velocity of a particle is presented to pave the way for the job-shop scheduling problem. In the artificial immune system, the models of vaccination and receptor editing are designed to improve the immune performance. The proposed algorithm effectively exploits the capabilities of distributed and parallel computing of swarm intelligence approaches. The algorithm is examined by using a set of benchmark instances with various sizes and levels of hardness and is compared with other approaches reported in some existing literature works. The computational results validate the effectiveness of the proposed approach.	Artificial immune system (AIS);artificial intelligence;job-shop scheduling problem (JSSP);particle swarm optimization (PSO);vaccinationartificial immune systems;job shop scheduling;particle swarm optimisationartificial immune system;hybrid intelligent algorithm;job-shop scheduling;parallel computing;particle swarm optimization;receptor editing;swarm intelligence;vaccination							
988	Advances in Diagnostic Techniques for Induction Machines	Bellini, A.; Filippetti, F.; Tassoni, C.; Capolino, G.-A.	Industrial Electronics, IEEE Transactions on	20081202	This paper investigates diagnostic techniques for electrical machines with special reference to induction machines and to papers published in the last ten years. A comprehensive list of references is reported and examined, and research activities classified into four main topics: 1) electrical faults; 2) mechanical faults; 3) signal processing for analysis and monitoring; and 4) artificial intelligence and decision-making techniques.	Adaptive signal processing;Fourier transforms;artificial intelligence (AI);bearings;diagnostic reasoning;fault diagnosis;fuzzy neural networks;induction machines;induction motor drives;induction motor protection;industrial power system maintenance;pattern recognition;signal processing;timeﾖfrequency analysis;wavelet transformsadaptive signal processing;asynchronous machines;decision making;diagnostic reasoning;electric machine analysis computing;electrical faultsadaptive signal processing;artificial intelligence;decision-making;electrical faults;electrical machines;induction machines;mechanical faults;signal processing							
989	Room-temperature microstructural evolution of electroplated Cu studied by focused ion beam and positron annihilation lifetime spectroscopy	Yin, K.B.; Xia, Y.D.; Zhang, W.Q.; Wang, Q.J.; Zhao, X.N.; Li, A.D.; Liu, Z.G.; Hao, X.P.; Wei, L.; Chan, C.Y.; Cheung, K.L.; Bayes, M.W.; Yee, K.W.	Journal of Applied Physics	20090618	Focused ion beam (FIB) microscopy was used to obtain the time dependent transformation fraction and positron annihilation lifetime spectroscopy (PALS) was employed to analyze the vacancy-type defects in electroplated copper (Cu) during room-temperature microstructrual evolution. It was found that PALS is more sensitive than FIB to show the room-temperature microstructual evolution of electroplated Cu at the first stage of self-annealing. The majority of defects in electroplated Cu are dislocation-bound vacancies and vacancy clusters. Both the size and the concentration of the defects are similar for the two samples at the completion of electroplating. During the incubation time, the mean size of vacancy-type defects increases. After the onset of visible grain growth, the size of vacancy-type defects decreases. The detail evolutions of defects differ with the two samples. The role of the evolution of codeposited species was also discussed.	annealing;copper;dislocations;electroplating;grain growth;positron annihilation;vacancies (crystal)6172J-;7870Bj;8140Gh;8245Qr,							
990	Machine Learning: The State of the Art	Jue Wang; Qing Tao	Intelligent Systems, IEEE	20090109	The two fundamental problems in machine learning (ML) are statistical analysis and algorithm design. The former tells us the principles of the mathematical models that we establish from the observation data. The latter defines the conditions on which implementation of data models and data sets rely. A newly discovered challenge to ML is the Rashomon effect, which means that data are possibly generated from a mixture of heterogeneous sources. A simple classification standard can shed light on emerging forms of ML. This article is part of a special issue on AI in China.	Rashomon effect;algorithm design;feature selection;learning to rank;machine learning;manifold learning;metric learning;multi-instance learning;nonlinear backpropagation;perceptron;relational learning;rule + exception learning;semisupervised learning;statistical analysis;statistical learning methods;structural learning;supervised learning;symbolic learning methods;unsupervised learninglearning (artificial intelligence)algorithm design;classification standard;machine learning;statistical analysis							
